Institution,Control,City,State
Auburn University,Public,Auburn,AL
University of Alabama,Public,Tuscaloosa,AL
University of Alabama at Birmingham,Public,Birmingham,AL
University of Alabama in Huntsville,Public,Huntsville,AL
University of Arkansas,Public,Fayetteville,AR
Arizona State University,Public,Tempe[a],AZ
University of Arizona,Public,Tucson,AZ
California Institute of Technology,Private (non-profit),Pasadena,CA
Stanford University,Private (non-profit),Stanford,CA
"University of California, Berkeley",Public,Berkeley,CA
"University of California, Davis",Public,Davis,CA
"University of California, Irvine",Public,Irvine,CA
"University of California, Los Angeles",Public,Los Angeles,CA
"University of California, Riverside",Public,Riverside,CA
"University of California, San Diego",Public,San Diego[h],CA
"University of California, Santa Barbara",Public,Santa Barbara[i],CA
"University of California, Santa Cruz",Public,Santa Cruz,CA
University of Southern California,Private (non-profit),Los Angeles,CA
Colorado School of Mines,Public,Golden,CO
Colorado State University,Public,Fort Collins,CO
University of Colorado Boulder,Public,Boulder,CO
University of Colorado Denver,Public,Denver,CO
University of Denver,Private (non-profit),Denver,CO
University of Connecticut,Public,Storrs,CT
Yale University,Private (non-profit),New Haven,CT
George Washington University,Private (non-profit),"Washington, D.C.",DC
Georgetown University,Private (non-profit),"Washington, D.C.",DC
University of Delaware,Public[k],Newark,DE
Florida International University,Public,Miami[d],FL
Florida State University,Public,Tallahassee,FL
University of Central Florida,Public,Orlando[j],FL
University of Florida,Public,Gainesville,FL
University of Miami,Private (non-profit),Coral Gables,FL
University of South Florida,Public,Tampa,FL
Emory University,Private (non-profit),Atlanta,GA
Georgia Institute of Technology,Public,Atlanta,GA
Georgia State University,Public,Atlanta,GA
University of Georgia,Public,Athens,GA
University of Hawai?i at M?noa,Public,Honolulu,HI
Iowa State University,Public,Ames,IA
University of Iowa,Public,Iowa City,IA
Northwestern University,Private (non-profit),Evanston,IL
University of Chicago,Private (non-profit),Chicago,IL
University of Illinois Chicago,Public,Chicago,IL
University of Illinois Urbana-Champaign,Public,Champaign/Urbana[l],IL
Indiana University Bloomington,Public,Bloomington,IN
Purdue University,Public,West Lafayette,IN
University of Notre Dame,Private (non-profit),Notre Dame,IN
Kansas State University,Public,Manhattan,KS
University of Kansas,Public,Lawrence,KS
University of Kentucky,Public,Lexington,KY
University of Louisville,Public,Louisville,KY
Louisiana State University,Public,Baton Rouge,LA
Tulane University,Private (non-profit),New Orleans,LA
University of Louisiana at Lafayette,Public,Lafayette,LA
Boston College,Private (non-profit),Chestnut Hill,MA
Boston University,Private (non-profit),Boston,MA
Brandeis University,Private (non-profit),Waltham,MA
Harvard University,Private (non-profit),Cambridge,MA
Massachusetts Institute of Technology,Private (non-profit),Cambridge,MA
Northeastern University,Private (non-profit),Boston,MA
Tufts University,Private (non-profit),Medford,MA
University of Massachusetts Amherst,Public,Amherst,MA
Johns Hopkins University,Private (non-profit),Baltimore,MD
"University of Maryland, Baltimore County",Public,Baltimore[m],MD
"University of Maryland, College Park",Public,College Park,MD
University of Maine,Public,Orono,ME
Michigan State University,Public,East Lansing,MI
University of Michigan,Public,Ann Arbor,MI
Wayne State University,Public,Detroit,MI
University of Minnesota,Public,Minneapolis,MN
University of Missouri,Public,Columbia,MO
Washington University in St. Louis,Private (non-profit),St. Louis,MO
Mississippi State University,Public,Mississippi State,MS
University of Mississippi,Public,University,MS
University of Southern Mississippi,Public,Hattiesburg,MS
Montana State University,Public,Bozeman,MT
University of Montana,Public,Missoula,MT
Duke University,Private (non-profit),Durham,NC
North Carolina State University,Public,Raleigh,NC
University of North Carolina at Chapel Hill,Public,Chapel Hill,NC
North Dakota State University,Public,Fargo,ND
University of Nebraska–Lincoln,Public,Lincoln,NE
Dartmouth College,Private (non-profit),Hanover,NH
University of New Hampshire,Public,Durham,NH
New Jersey Institute of Technology,Public,Newark,NJ
Princeton University,Private (non-profit),Princeton,NJ
Rutgers University–New Brunswick,Public,New Brunswick,NJ
University of New Mexico,Public,Albuquerque,NM
"University of Nevada, Las Vegas",Public,Las Vegas[n],NV
"University of Nevada, Reno",Public,Reno,NV
Binghamton University,Public,Vestal[b],NY
Columbia University,Private (non-profit),New York City[c],NY
Cornell University,Private (non-profit),Ithaca,NY
"Graduate Center, CUNY",Public,New York City[c],NY
New York University,Private (non-profit),New York City[c],NY
Rensselaer Polytechnic Institute,Private (non-profit),Troy,NY
Stony Brook University,Public,Stony Brook,NY
Syracuse University,Private (non-profit),Syracuse,NY
"University at Albany, SUNY",Public,Albany,NY
University at Buffalo,Public,Buffalo[g],NY
University of Rochester,Private (non-profit),Rochester,NY
Case Western Reserve University,Private (non-profit),Cleveland,OH
Kent State University,Public,Kent,OH
Ohio State University,Public,Columbus,OH
Ohio University,Public,Athens,OH
University of Cincinnati,Public,Cincinnati,OH
Oklahoma State University–Stillwater,Public,Stillwater,OK
University of Oklahoma,Public,Norman,OK
Oregon State University,Public,Corvallis,OR
University of Oregon,Public,Eugene,OR
Carnegie Mellon University,Private (non-profit),Pittsburgh,PA
Drexel University,Private (non-profit),Philadelphia,PA
Pennsylvania State University,Public[f],University Park,PA
Temple University,Public[f],Philadelphia,PA
University of Pennsylvania,Private (non-profit),Philadelphia,PA
University of Pittsburgh,Public[f],Pittsburgh,PA
Brown University,Private (non-profit),Providence,RI
Clemson University,Public,Clemson,SC
University of South Carolina,Public,Columbia,SC
University of Memphis,Public,Memphis,TN
University of Tennessee,Public,Knoxville,TN
Vanderbilt University,Private (non-profit),Nashville,TN
Baylor University,Private (non-profit),Waco,TX
Rice University,Private (non-profit),Houston,TX
Texas A&M University,Public,College Station,TX
Texas Tech University,Public,Lubbock,TX
University of Houston,Public,Houston,TX
University of North Texas,Public,Denton,TX
University of Texas at Arlington,Public,Arlington,TX
University of Texas at Austin,Public,Austin,TX
University of Texas at Dallas,Public,Richardson,TX
University of Texas at El Paso,Public,El Paso,TX
University of Texas at San Antonio,Public,San Antonio,TX
University of Utah,Public,Salt Lake City,UT
Utah State University,Public,Logan,UT
George Mason University,Public,Fairfax[e],VA
Old Dominion University,Public,Norfolk,VA
University of Virginia,Public,Charlottesville,VA
Virginia Commonwealth University,Public,Richmond,VA
Virginia Tech,Public,Blacksburg,VA
University of Washington,Public,Seattle,WA
Washington State University,Public,Pullman,WA
University of Wisconsin–Madison,Public,Madison,WI
University of Wisconsin–Milwaukee,Public,Milwaukee,WI
West Virginia University,Public,Morgantown,WV
